x, y
273523.5173215942, 21.38617523451984
268630.16144092346, 21.21751512993948
278317.59411541634, 21.720536494477397
286835.73976702587, 22.12406319205892
279431.7260900506, 22.089665407572134
290965.7497799274, 22.48061657104021
297107.8159529605, 22.806100983388273
301511.3950051782, 23.154147383410464
297879.9866284496, 23.385685158558065
305089.85453558754, 23.66567572690748
306647.4330981455, 23.36793146333908
300033.23971209914, 23.51920774135085
315860.53235769516, 23.836370109065015
311635.65566180495, 23.861891045942308
320173.6571307841, 24.61346414354602
321510.61550034524, 24.135223978584605
312520.3426357224, 24.291493483376716
328082.8910497222, 25.09151937418224
330853.88067376305, 24.65340995778874
335694.28770811454, 25.575677437549988
339405.119354322, 25.397215813734146
340265.53810700984, 25.884147891979858
348097.55495839904, 25.75081024351227
346337.00581828394, 26.069821954478414
